"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Contracts","0","8","Sort contracts list","0"
"0","","0","Dashboard Display","4","0","Dashboard Elements","0"
"0","","0","Dashboard Progress Bars","4","0","Progress Bar Verification","0"
"0","","0","Contracts","1","0","Create contract","0"
"0","","0","Dashboard Search","1","0","Search Functionality","0"
"0","","0","Dashboard display","1","0","Dashboard element","0"
"0","","0","Customers","1","0","Create customer","0"
"0","","0","Contracts","1","0","Delete contract","0"
"0","","0","Contracts","1","0","Edit contract","0"
